City,Longitude,Latitude,Distance
-,5.447746,45.35253,0.322355393937
-,-0.399552,45.41301,0.595813729281
Kirsanov,42.522862,53.2234,0.598324326766
Rustavi,44.940912,41.653935,0.137611772752
Mombasa,39.689918,-4.040026,0.0
Mitilini,26.605222,38.644366,0.46867472729
-,32.390329,31.359563,0.141421356237
Rio de Janeiro,-43.177453,-22.874109,0.0700357051796
Verkhniy Ufaley,60.183159,56.167464,0.111825757319
Mendocino,-125.096506,37.583288,2.15880267741
Grytviken,-32.826131,-38.332208,16.3684979457
Tômbua,10.171569,-16.623055,1.87794382238
Ludhiana,75.860466,30.910838,0.0208086520467
-,116.249697,39.765605,0.21357200191
Khon Kaen,102.766768,16.165522,0.26169638897
Bilecik,29.983168,39.939278,0.211
-,78.867234,52.623802,0.0898943824719
Dhaka,90.419646,23.795813,0.0738241153012
Irkutsk,104.219991,52.317242,0.025179356624
Hamilton,-61.142485,33.805154,3.94300456505
Inowroclaw,18.263009,52.230936,0.549153894642
Pattani,102.562949,8.571898,2.15435210678
Vladivostok,131.979053,43.392409,0.270933571194
Otaru,138.803711,45.50261,3.1750388974
-,31.773182,59.074758,0.725860868211
Krasnokamsk,55.169543,58.256172,0.601861279698
-,106.019879,48.940896,0.453083877444
Murom,42.355332,56.100739,0.617402623901
-,29.623221,60.220903,0.748179791227
Daru,142.546148,-10.037173,1.1552177284
-,4.355017,47.121509,0.706320748669
Slobodskoy,50.702604,58.481135,0.56691621956
Tanjungpandan,107.029763,-3.493608,0.968470959812
-,-1.275593,46.47219,0.330001515148
Shahhat,21.61677,34.785442,1.9722763498
-,128.965108,44.927093,0.717306768405
Byron Bay,153.670326,-28.640129,0.0594810894318
-,46.332501,43.515934,0.663901348093
-,40.106663,53.699422,0.890421248623
-,165.267727,45.993031,9.70189600027
Ali Bayramli,48.943562,39.951206,0.03061045573
-,53.142835,57.88005,0.568546392126
Kitty Hawk,-73.900028,37.007093,2.03049870721
-,28.358766,41.219443,0.660906196067
Münster,7.34461,52.329381,0.452223396122
Freetown,-16.338185,5.911364,4.02284687752
