,0,1,2,3
180,180.0,"1019,555,1019,555","332.275660812,59.2141601442,332.275660812,59.2141601442","1,1,2,2"
181,181.0,"1376,69,1376,69,1376,69,1376,69","19.3325006254,17.824287102,19.3325006254,17.824287102,19.3325006254,17.824287102,19.3325006254,17.824287102","2,2,1,1,2,2,2,2"
182,182.0,"419,82,210","195.736635617,331.448213896,56.1226614756","3,3,3"
183,183.0,"976,450,976,450,976,450,976,450","63.2612367547,23.9393928717,63.2612367547,23.9393928717,63.2612367547,23.9393928717,63.2612367547,23.9393928717","2,2,1,1,2,2,2,2"
184,184.0,"1074,759","30.4372418128,39.6388377671","1,1"
185,185.0,"828,1183,828,1183,828,1183,828,1183","128.226621462,107.532500005,128.226621462,107.532500005,128.226621462,107.532500005,128.226621462,107.532500005","2,2,1,1,2,2,2,2"
186,186.0,"42,1324","24.393741491,60.4240696733","1,1"
187,187.0,"616,1182","36.9394760086,12.5213972579","1,1"
188,188.0,"1344,610","47.2778365027,44.7012839756","1,1"
189,189.0,"1393,1129","17.8884723577,4.83183664854","1,1"
190,190.0,"593,1289,593,1289,593,1289,593,1289","95.2822163133,93.9777463545,95.2822163133,93.9777463545,95.2822163133,93.9777463545,95.2822163133,93.9777463545","2,2,1,1,2,2,2,2"
191,191.0,"18,1148,18,1148,18,1148,18,1148","79.8390596046,50.634266284,79.8390596046,50.634266284,79.8390596046,50.634266284,79.8390596046,50.634266284","2,2,1,1,2,2,2,2"
192,192.0,"1193,623,1193,623,1193,623,1193,623","39.6577198271,39.3364200922,39.6577198271,39.3364200922,39.6577198271,39.3364200922,39.6577198271,39.3364200922","2,2,1,1,2,2,2,2"
193,193.0,"874,767,874,767,874,767,874,767","130.220390759,124.997299963,130.220390759,124.997299963,130.220390759,124.997299963,130.220390759,124.997299963","2,2,1,1,2,2,2,2"
194,194.0,"1194,926","36.8983666469,33.5945607841","1,1"
